,entity,dates,hits
710,Ozzy Osbourne,4/11/20,4
711,Ozzy Osbourne,4/12/20,4
712,Ozzy Osbourne,4/13/20,1
713,Ozzy Osbourne,4/14/20,10
714,Ozzy Osbourne,4/15/20,34
715,Ozzy Osbourne,4/16/20,24
716,Ozzy Osbourne,4/17/20,12
717,Ozzy Osbourne,4/18/20,4
718,Ozzy Osbourne,4/19/20,8
719,Ozzy Osbourne,4/20/20,118
720,Ozzy Osbourne,4/21/20,85
721,Ozzy Osbourne,4/22/20,39
722,Ozzy Osbourne,4/23/20,28
723,Ozzy Osbourne,4/24/20,21
724,Ozzy Osbourne,4/25/20,22
725,Ozzy Osbourne,4/26/20,12
726,Ozzy Osbourne,4/27/20,7
727,Ozzy Osbourne,4/28/20,27
728,Ozzy Osbourne,4/29/20,17
729,Ozzy Osbourne,4/30/20,14
730,Ozzy Osbourne,5/1/20,7
731,Ozzy Osbourne,5/2/20,7
732,R. Kelly,1/2/20,172
733,R. Kelly,1/3/20,245
734,R. Kelly,1/4/20,273
735,R. Kelly,1/5/20,113
736,R. Kelly,1/6/20,26
737,R. Kelly,1/7/20,23
738,R. Kelly,1/8/20,780
739,R. Kelly,1/9/20,276
740,R. Kelly,1/10/20,423
741,R. Kelly,1/11/20,872
742,R. Kelly,1/12/20,644
743,R. Kelly,1/13/20,267
744,R. Kelly,1/14/20,246
745,R. Kelly,1/15/20,118
746,R. Kelly,1/16/20,72
747,R. Kelly,1/17/20,21
748,R. Kelly,1/18/20,33
749,R. Kelly,1/19/20,24
750,R. Kelly,1/20/20,15
751,R. Kelly,1/21/20,25
752,R. Kelly,1/22/20,7
753,R. Kelly,1/23/20,26
754,R. Kelly,1/24/20,15
755,R. Kelly,1/25/20,10
756,R. Kelly,1/26/20,6
757,R. Kelly,1/27/20,0
758,R. Kelly,1/28/20,20
759,R. Kelly,1/29/20,26
760,R. Kelly,1/30/20,45
761,R. Kelly,1/31/20,57
762,R. Kelly,2/1/20,10
763,R. Kelly,2/2/20,13
764,R. Kelly,2/3/20,5
765,R. Kelly,2/4/20,25
766,R. Kelly,2/5/20,23
767,R. Kelly,2/6/20,20
768,R. Kelly,2/7/20,3
769,R. Kelly,2/8/20,32
770,R. Kelly,2/9/20,5
771,R. Kelly,2/10/20,6
772,R. Kelly,2/11/20,5
773,R. Kelly,2/12/20,5
774,R. Kelly,2/13/20,7
775,R. Kelly,2/14/20,6
776,R. Kelly,2/15/20,7
777,R. Kelly,2/16/20,7
778,R. Kelly,2/17/20,2
779,R. Kelly,2/18/20,4
780,R. Kelly,2/19/20,2
781,R. Kelly,2/20/20,6
782,R. Kelly,2/21/20,0
783,R. Kelly,2/22/20,0
784,R. Kelly,2/23/20,0
785,R. Kelly,2/24/20,0
786,R. Kelly,2/25/20,7
787,R. Kelly,2/26/20,0
788,R. Kelly,2/27/20,0
789,R. Kelly,2/28/20,0
790,R. Kelly,2/29/20,1
791,R. Kelly,3/1/20,0
792,R. Kelly,3/2/20,1
793,R. Kelly,3/3/20,1
794,R. Kelly,3/4/20,5
795,R. Kelly,3/5/20,301
796,R. Kelly,3/6/20,113
797,R. Kelly,3/7/20,30
798,R. Kelly,3/8/20,31
799,R. Kelly,3/9/20,19
800,R. Kelly,3/10/20,12
801,R. Kelly,3/11/20,4
802,R. Kelly,3/12/20,5
803,R. Kelly,3/13/20,45
804,R. Kelly,3/14/20,14
805,R. Kelly,3/15/20,12
806,R. Kelly,3/16/20,7
807,R. Kelly,3/17/20,8
808,R. Kelly,3/18/20,3
809,R. Kelly,3/19/20,3
810,R. Kelly,3/20/20,24
811,R. Kelly,3/21/20,0
812,R. Kelly,3/22/20,2
813,R. Kelly,3/23/20,0
814,R. Kelly,3/24/20,1
815,R. Kelly,3/25/20,0
